7zip 26.00-1
accountsservice 23.13.9-3
acpi 1.8-2
alacritty 0.16.1-1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5
alsa-utils 1.2.15.2-2
arandr 0.1.11-6
arc-gtk-theme-eos 20221218-2
archlinux-xdg-menu 0.7.7-1
aspell 0.60.8.2-1
aspell-es 1.11-10
awesome-terminal-fonts 1.1.0-5
b43-fwcutter 019-6
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
betterlockscreen 4.4.0-1
bind 9.20.18-1
blueman 2.4.6-2
bluez 5.86-2
bluez-utils 5.86-2
brave-bin 1:1.87.188-1
brightnessctl 0.5.1-3
btrfs-progs 6.19-1
cantarell-fonts 1:0.311-1
cryptsetup 2.8.4-1
cups 2:2.4.16-2
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
device-mapper 2.03.38-1
dex 0.10.1-1
dialog 1:1.3_20260107-1
diffutils 3.12-2
dmenu 5.4-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.92-1
dosfstools 4.2-5
downgrade 11.8.0-1
dracut 109_eos-1
duf 0.9.1-1
dunst 1.13.1-1
e2fsprogs 1.47.3-2
efibootmgr 18-3
efitools 1.9.2-6
endeavouros-branding 25.11.1.1-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 26-1
endeavouros-xfce4-terminal-colors 6-1
eos-apps-info 25.12-1
eos-hooks 1.16.2-1
eos-lightdm-slick-theme 3.4-1
eos-log-tool 25.10-1
eos-packagelist 2.3.1-2
eos-qogir-icons 2025.02.15-3
eos-quickstart 1.4.1-1
eos-rankmirrors 26-1
eos-settings-i3wm 5.2-1
ethtool 1:6.19-1
ex-vi-compat 2-1
exfatprogs 1.3.1-1
f2fs-tools 1.16.0-3
fastfetch 2.59.0-1
feh 3.11.2-2
ffmpegthumbnailer 2.3.0-1
firefox 147.0.3-2
firewall-applet 2.4.0-6
firewalld 2.4.0-6
fish 4.4.0-1
flameshot 13.3.0-2
foomatic-db 3:20251122-1
foomatic-db-engine 5:20200131-2
foomatic-db-gutenprint-ppds 5.3.5-1
foomatic-db-nonfree 3:20251122-1
foomatic-db-nonfree-ppds 3:20251122-1
foomatic-db-ppds 3:20251122-1
galculator 2.1.4-10
gammastep 2.0.11-2
gcc-fortran 15.2.1+r604+g0b99615a8aef-1
gdal 3.12.1-2
geany 2.1-2
geany-plugins 2.1-3
ghostscript 10.06.0-1
git 2.53.0-1
glances 4.5.0.4-1
google-chrome 145.0.7632.75-1
gparted 1.8.0-1
grim 1.5.0-2
gsfonts 20200910-6
gst-libav 1.28.0-2
gst-plugin-pipewire 1:1.4.10-2
gst-plugins-bad 1.28.0-2
gst-plugins-ugly 1.28.0-2
gutenprint 5.3.5-1
gvfs 1.58.1-1
gvfs-afc 1.58.1-1
gvfs-gphoto2 1.58.1-1
gvfs-mtp 1.58.1-1
gvfs-nfs 1.58.1-1
gvfs-smb 1.58.1-1
haveged 1.9.19-1
hdparm 9.65-3
hplip 1:3.25.8-5
htop 3.4.1-1
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2
hypridle 0.1.7-6
